3,Archery,Individual,Men
4,Archery,Individual,Women
8,Artistic Gymnastics,All-Around,Men
9,Artistic Gymnastics,All-Around,Women
10,Artistic Gymnastics,Balance Beam,Women
11,Artistic Gymnastics,Floor Exercise,Men
12,Artistic Gymnastics,Floor Exercise,Women
13,Artistic Gymnastics,Horizontal Bar,Men
14,Artistic Gymnastics,Parallel Bars,Men
15,Artistic Gymnastics,Pommel Horse,Men
16,Artistic Gymnastics,Rings,Men
19,Artistic Gymnastics,Uneven Bars,Women
20,Artistic Gymnastics,Vault,Men
21,Artistic Gymnastics,Vault,Women
24,Athletics,"10,000m",Men
25,Athletics,"10,000m",Women
26,Athletics,100m,Men
27,Athletics,100m,Women
28,Athletics,100m Hurdles,Women
29,Athletics,110m Hurdles,Men
30,Athletics,1500m,Men
31,Athletics,1500m,Women
32,Athletics,200m,Men
33,Athletics,200m,Women
34,Athletics,20km Race Walk,Men
35,Athletics,20km Race Walk,Women
36,Athletics,3000m Steeplechase,Men
37,Athletics,3000m Steeplechase,Women
43,Athletics,400m,Men
44,Athletics,400m,Women
45,Athletics,400m Hurdles,Men
46,Athletics,400m Hurdles,Women
47,Athletics,5000m,Men
48,Athletics,5000m,Women
49,Athletics,50km Race Walk,Men
50,Athletics,800m,Men
51,Athletics,800m,Women
52,Athletics,Decathlon,Men
53,Athletics,Discus Throw,Men
54,Athletics,Discus Throw,Women
55,Athletics,Hammer Throw,Men
56,Athletics,Hammer Throw,Women
57,Athletics,Heptathlon,Women
58,Athletics,High Jump,Men
59,Athletics,High Jump,Women
60,Athletics,Javelin Throw,Men
61,Athletics,Javelin Throw,Women
62,Athletics,Long Jump,Men
63,Athletics,Long Jump,Women
64,Athletics,Marathon,Men
65,Athletics,Marathon,Women
66,Athletics,Pole Vault,Men
67,Athletics,Pole Vault,Women
68,Athletics,Shot Put,Men
69,Athletics,Shot Put,Women
70,Athletics,Triple Jump,Men
71,Athletics,Triple Jump,Women
75,Badminton,Singles,Men
76,Badminton,Singles,Women
83,Boxing,Feather (52-57kg),Men
84,Boxing,Feather (54-57kg),Women
85,Boxing,Fly (48-51kg),Women
86,Boxing,Fly (48-52kg),Men
87,Boxing,Heavy (81-91kg),Men
88,Boxing,Light (57-60kg),Women
89,Boxing,Light (57-63kg),Men
90,Boxing,Middle (69-75kg),Men
91,Boxing,Middle (69-75kg),Women
92,Boxing,Super Heavy (+91kg),Men
93,Boxing,Welter (63-69kg),Men
94,Boxing,Welter (64-69kg),Women
95,Canoe,SlalomCanoe,Men
96,Canoe,Slalom Canoe,Women
97,Canoe,Slalom Kayak,Men
98,Canoe,Slalom Kayak,Women
99,Canoe,Sprint Canoe 1000m,Men
100,Canoe,Sprint Canoe 200m,Women
103,Canoe,Sprint Kayak 1000m,Men
104,Canoe,Sprint Kayak 200m,Men
105,Canoe,Sprint Kayak 200m,Women
106,Canoe,Sprint Kayak 500m,Women
111,Cycling,BMX Freestyle,Men
112,Cycling,BMX Freestyle,Women
113,Cycling,BMX Racing,Men
114,Cycling,BMX Racing,Women
115,Cycling,Mountain Bike Cross-country,Men
116,Cycling,Mountain Bike Cross-country,Women
117,Cycling,Road Race,Men
118,Cycling,Road Race,Women
119,Cycling,Road Time Trial,Men
120,Cycling,Road Time Trial,Women
121,Cycling,Track Keirin,Men
122,Cycling,Track Keirin,Women
125,Cycling,Track Omnium,Men
126,Cycling,Track Omnium,Women
127,Cycling,Track Sprint,Men
128,Cycling,Track Sprint,Women
133,Diving,10m Platform,Men
134,Diving,10m Platform,Women
135,Diving,3m Springboard,Men
136,Diving,3m Springboard,Women
142,Equestrian,Dressage,Mixed
144,Equestrian,Eventing,Mixed
145,Equestrian,Jumping,Mixed
147,Fencing,Épée,Men
148,Fencing,Épée,Women
151,Fencing,Foil,Men
152,Fencing,Foil,Women
155,Fencing,Sabre,Men
156,Fencing,Sabre,Women
161,Golf,Stroke Play,Men
162,Golf,Stroke Play,Women
