1,ESP,Fatima GALVEZ,1987
2,ESP,Alberto FERNANDEZ,1983
3,SMR,Alessandra PERILLI,1988
4,SMR,Gian Marco BERTI,1982
5,USA,Madelynn Ann BERNAU,1998
6,USA,Brian BURROWS,1988
7,SVK,Zuzana STEFECEKOVA,1984
8,SVK,Erik VARGA,1976
9,JPN,Yukie NAKAYAMA,1979
10,JPN,Shigetaka OYAMA,1981
11,AUS,Penny SMITH,1995
12,AUS,Thomas Derek GRICE,1992
13,AUS,Laetisha SCANLAN,1990
14,AUS,James WILLETT,1995
15,SVK,Jana SPOTAKOVA,1985
16,SVK,Marian KOVACOCY,1984
17,CHN,Xiaojing WANG,1992
18,CHN,Haicheng YU,1998
19,GBR,Kirsty HEGARTY,1988
20,GBR,Matthew John COWARD HOLLEY,1994
21,ROC,Daria SEMIANOVA,2002
22,ROC,Alexey ALIPOV,1975
23,ITA,Jessica ROSSI,1992
24,ITA,Mauro DE FILIPPIS,1980
25,USA,Kayle BROWNING,1992
26,USA,Derrick Scott MEIN,1985
27,ROC,Ekaterina SUBBOTINA,1995
28,ROC,Maxim KABATSKIY,1996
29,MEX,Alejandra RAMIREZ CABALLERO,1997
30,MEX,Jorge Martin OROZCO DIAZ,2000
31,EGY,Maggy ASHMAWY,1992
32,EGY,Abdel Aziz MEHELBA,1988
33,CHN,Dongqi CHEN,1988
34,USA,Sagen MADDALENA,1993
35,BLR,Maria MARTYNOVA,1997
36,ROC,Yulia KARIMOVA,1994
37,IRI,Najmeh KHEDMATI,1996
38,SUI,Nina CHRISTEN,1994
39,NOR,Jenny STENE,1998
40,SRB,Andrea ARSOVIC,1987
41,GER,Jolyn BEER,1994
42,INA,Vidya Rafika Rahmatan TOYYIBA,2001
43,SRB,Sanja VUKASINOVIC,1997
44,CZE,Nikola MAZUROVA,1994
45,CHN,Mengyao SHI,1998
46,EGY,Alzahraa SHABAN,1991
47,MGL,Yesugen OYUNBAT,1999
48,PUR,Yarimar MERCADO MARTINEZ,1995
49,POL,Aneta STANKIEWICZ,1995
50,KOR,Eunyoung CHO,1995
51,GBR,Seonaid MCINTOSH,1996
52,UZB,Mukhtasar TOKHIROVA,2000
53,IRI,Fatemeh KARAMZADEH,1998
54,KOR,Sanghee BAE,1992
55,MAS,Nur Suryani MOHAMED TAIBI,1982
